timestamp,issuer,section,model,input_tokens,output_tokens,cost_usd
2026-04-17T07:20:03.661798+00:00,Delta Air Lines,market_risk,claude-haiku-4-5-20251001,898,893,0.004290
2026-04-17T07:20:08.477057+00:00,Delta Air Lines,market_risk,claude-haiku-4-5-20251001,649,740,0.003479
2026-04-17T07:20:13.196536+00:00,Delta Air Lines,market_risk,claude-haiku-4-5-20251001,662,748,0.003522
2026-04-17T07:20:18.541570+00:00,Delta Air Lines,market_risk,claude-haiku-4-5-20251001,662,889,0.004086
2026-04-20T07:52:21.074058+00:00,Fastenal,bootstrap,claude-sonnet-4-20250514,1527,445,0.011256
2026-04-20T07:52:31.244037+00:00,Fastenal,market_risk,claude-haiku-4-5-20251001,1648,1474,0.007214
2026-04-20T07:52:40.509954+00:00,Fastenal,market_risk,claude-haiku-4-5-20251001,1610,1278,0.006400
2026-04-20T07:53:22.803614+00:00,Netflix,bootstrap,claude-sonnet-4-20250514,1612,506,0.012426
2026-04-20T07:53:31.467131+00:00,Netflix,market_risk,claude-haiku-4-5-20251001,2032,1251,0.006630
2026-04-20T07:53:50.157385+00:00,PepsiCo,bootstrap,claude-sonnet-4-20250514,2241,515,0.014448
2026-04-20T07:53:54.370762+00:00,PepsiCo,financial_instruments,claude-haiku-4-5-20251001,3746,507,0.005025
2026-04-20T07:53:58.659086+00:00,PepsiCo,market_risk,claude-haiku-4-5-20251001,667,733,0.003466
2026-04-21T07:22:28.974885+00:00,Fastenal,market_risk,claude-haiku-4-5-20251001,1644,1111,0.005759
2026-04-21T07:22:38.933075+00:00,Fastenal,market_risk,claude-haiku-4-5-20251001,1986,1341,0.006953
2026-04-21T07:22:49.927405+00:00,Fastenal,market_risk,claude-haiku-4-5-20251001,2130,1589,0.008060
2026-04-21T07:22:59.804422+00:00,Fastenal,market_risk,claude-haiku-4-5-20251001,2145,1405,0.007336
2026-04-21T07:23:14.006487+00:00,Netflix,market_risk,claude-haiku-4-5-20251001,2345,1512,0.007924
2026-04-21T07:23:25.474151+00:00,Netflix,market_risk,claude-haiku-4-5-20251001,2257,1435,0.007546
2026-04-21T07:23:35.054760+00:00,Netflix,market_risk,claude-haiku-4-5-20251001,2261,1300,0.007009
2026-04-21T07:23:45.677959+00:00,Netflix,market_risk,claude-haiku-4-5-20251001,2261,1427,0.007517
2026-04-21T07:23:56.543306+00:00,PepsiCo,financial_instruments,claude-haiku-4-5-20251001,3344,857,0.006103
2026-04-21T07:24:00.674943+00:00,PepsiCo,market_risk,claude-haiku-4-5-20251001,807,811,0.003890
2026-04-21T07:24:08.277708+00:00,PepsiCo,financial_instruments,claude-haiku-4-5-20251001,3906,698,0.005917
2026-04-21T07:24:12.697554+00:00,PepsiCo,market_risk,claude-haiku-4-5-20251001,816,777,0.003761
2026-04-21T07:24:21.053943+00:00,PepsiCo,financial_instruments,claude-haiku-4-5-20251001,4147,821,0.006602
2026-04-21T07:24:27.496999+00:00,PepsiCo,market_risk,claude-haiku-4-5-20251001,816,895,0.004233
2026-04-21T07:24:35.166981+00:00,PepsiCo,financial_instruments,claude-haiku-4-5-20251001,3400,692,0.005488
2026-04-21T07:24:40.494277+00:00,PepsiCo,market_risk,claude-haiku-4-5-20251001,823,902,0.004266
2026-04-23T07:22:51.099103+00:00,Boeing,derivatives_note,claude-haiku-4-5-20251001,2261,1947,0.009597
2026-04-23T07:22:54.229619+00:00,Boeing,market_risk,claude-haiku-4-5-20251001,411,240,0.001289
2026-04-23T07:23:08.855641+00:00,GE Vernova,derivatives_note,claude-haiku-4-5-20251001,2818,1539,0.008410
2026-04-23T07:23:11.744809+00:00,GE Vernova,market_risk,claude-haiku-4-5-20251001,645,283,0.001648
2026-04-24T07:49:18.767248+00:00,3M,bootstrap,claude-sonnet-4-20250514,935,426,0.009195
2026-04-24T07:49:25.211814+00:00,3M,market_risk,claude-haiku-4-5-20251001,877,1165,0.005362
2026-04-24T07:50:07.632257+00:00,CenterPoint Energy,bootstrap,claude-sonnet-4-20250514,2185,516,0.014295
2026-04-24T07:50:21.202268+00:00,CenterPoint Energy,market_risk,claude-haiku-4-5-20251001,2714,1744,0.009147
2026-04-24T07:50:40.312007+00:00,Comcast,bootstrap,claude-sonnet-4-20250514,1797,561,0.013806
2026-04-24T07:50:53.539958+00:00,Comcast,market_risk,claude-haiku-4-5-20251001,2218,1888,0.009326
2026-04-24T07:51:03.702060+00:00,Comfort Systems USA,bootstrap,claude-sonnet-4-20250514,999,435,0.009522
2026-04-24T07:51:11.767820+00:00,Comfort Systems USA,market_risk,claude-haiku-4-5-20251001,1361,1202,0.005897
2026-04-24T07:51:27.814763+00:00,CSX Corporation,bootstrap,claude-sonnet-4-20250514,937,476,0.009951
2026-04-24T07:51:35.047547+00:00,CSX Corporation,market_risk,claude-haiku-4-5-20251001,1342,1205,0.005894
2026-04-24T07:51:45.825158+00:00,Danaher Corporation,bootstrap,claude-sonnet-4-20250514,1433,499,0.011784
2026-04-24T07:51:50.287905+00:00,Danaher Corporation,market_risk,claude-haiku-4-5-20251001,661,822,0.003817
2026-04-24T07:52:04.783808+00:00,Dover Corporation,bootstrap,claude-sonnet-4-20250514,2803,359,0.013794
2026-04-24T07:52:15.838218+00:00,Dover Corporation,financial_instruments,claude-haiku-4-5-20251001,4259,1203,0.008219
2026-04-24T07:52:20.121836+00:00,Dover Corporation,market_risk,claude-haiku-4-5-20251001,565,612,0.002900
2026-04-24T07:52:31.539805+00:00,D. R. Horton,bootstrap,claude-sonnet-4-20250514,1210,552,0.011910
2026-04-24T07:52:40.349767+00:00,D. R. Horton,market_risk,claude-haiku-4-5-20251001,1653,1434,0.007058
2026-04-24T07:52:56.029671+00:00,Elevance Health,bootstrap,claude-sonnet-4-20250514,1274,530,0.011772
2026-04-24T07:53:03.131819+00:00,Elevance Health,market_risk,claude-haiku-4-5-20251001,1724,1049,0.005575
2026-04-24T07:53:16.568679+00:00,EQT Corporation,bootstrap,claude-sonnet-4-20250514,2012,488,0.013356
2026-04-24T07:53:27.151748+00:00,EQT Corporation,market_risk,claude-haiku-4-5-20251001,2624,1348,0.007491
2026-04-25T07:03:20.716276+00:00,3M,market_risk,claude-haiku-4-5-20251001,924,1102,0.005147
2026-04-25T07:03:27.177077+00:00,3M,market_risk,claude-haiku-4-5-20251001,890,1072,0.005000
2026-04-25T07:03:33.073431+00:00,3M,market_risk,claude-haiku-4-5-20251001,890,1044,0.004888
2026-04-25T07:03:40.922265+00:00,3M,market_risk,claude-haiku-4-5-20251001,890,1117,0.005180
2026-04-25T07:03:52.319812+00:00,CenterPoint Energy,market_risk,claude-haiku-4-5-20251001,1832,1505,0.007486
2026-04-25T07:04:00.461393+00:00,CenterPoint Energy,market_risk,claude-haiku-4-5-20251001,1343,1332,0.006402
2026-04-25T07:04:09.151645+00:00,CenterPoint Energy,market_risk,claude-haiku-4-5-20251001,1286,1426,0.006733
2026-04-25T07:04:16.950276+00:00,CenterPoint Energy,market_risk,claude-haiku-4-5-20251001,1284,1223,0.005919
2026-04-25T07:04:25.101438+00:00,CenterPoint Energy,market_risk,claude-haiku-4-5-20251001,1286,1350,0.006429
2026-04-25T07:04:32.580829+00:00,Comcast,market_risk,claude-haiku-4-5-20251001,1310,1023,0.005140
2026-04-25T07:04:37.349970+00:00,Comcast,market_risk,claude-haiku-4-5-20251001,767,786,0.003758
2026-04-25T07:04:41.381143+00:00,Comcast,market_risk,claude-haiku-4-5-20251001,767,765,0.003674
2026-04-25T07:04:45.559565+00:00,Comcast,market_risk,claude-haiku-4-5-20251001,767,763,0.003666
2026-04-25T07:04:53.333818+00:00,Comfort Systems USA,market_risk,claude-haiku-4-5-20251001,1196,1109,0.005393
2026-04-25T07:05:00.002191+00:00,Comfort Systems USA,market_risk,claude-haiku-4-5-20251001,1104,1061,0.005127
2026-04-25T07:05:07.688268+00:00,Comfort Systems USA,market_risk,claude-haiku-4-5-20251001,1170,1182,0.005664
2026-04-25T07:05:14.495460+00:00,Comfort Systems USA,market_risk,claude-haiku-4-5-20251001,1206,1163,0.005617
2026-04-25T07:05:22.311401+00:00,CSX Corporation,market_risk,claude-haiku-4-5-20251001,1124,1097,0.005287
2026-04-25T07:05:28.153614+00:00,CSX Corporation,market_risk,claude-haiku-4-5-20251001,1059,967,0.004715
2026-04-25T07:05:34.132284+00:00,CSX Corporation,market_risk,claude-haiku-4-5-20251001,1050,921,0.004524
2026-04-25T07:05:38.741816+00:00,CSX Corporation,market_risk,claude-haiku-4-5-20251001,829,738,0.003615
2026-04-25T07:05:44.371472+00:00,Danaher Corporation,market_risk,claude-haiku-4-5-20251001,675,836,0.003884
2026-04-25T07:05:48.238041+00:00,Danaher Corporation,market_risk,claude-haiku-4-5-20251001,675,706,0.003364
2026-04-25T07:05:52.925100+00:00,Danaher Corporation,market_risk,claude-haiku-4-5-20251001,675,822,0.003828
2026-04-25T07:05:57.546863+00:00,Danaher Corporation,market_risk,claude-haiku-4-5-20251001,675,824,0.003836
2026-04-25T07:06:02.390609+00:00,Dover Corporation,market_risk,claude-haiku-4-5-20251001,600,635,0.003020
2026-04-25T07:06:06.139609+00:00,Dover Corporation,market_risk,claude-haiku-4-5-20251001,600,553,0.002692
2026-04-25T07:06:10.506224+00:00,Dover Corporation,market_risk,claude-haiku-4-5-20251001,600,606,0.002904
2026-04-25T07:06:13.614110+00:00,Dover Corporation,market_risk,claude-haiku-4-5-20251001,600,515,0.002540
2026-04-25T07:06:27.195453+00:00,D. R. Horton,market_risk,claude-haiku-4-5-20251001,2094,1596,0.008059
2026-04-25T07:06:39.286343+00:00,D. R. Horton,market_risk,claude-haiku-4-5-20251001,2130,1701,0.008508
2026-04-25T07:06:51.878874+00:00,D. R. Horton,market_risk,claude-haiku-4-5-20251001,2122,1819,0.008974
2026-04-25T07:07:05.570280+00:00,D. R. Horton,market_risk,claude-haiku-4-5-20251001,2197,1995,0.009738
2026-04-25T07:07:11.425948+00:00,Elevance Health,market_risk,claude-haiku-4-5-20251001,894,957,0.004543
2026-04-25T07:07:15.755217+00:00,Elevance Health,market_risk,claude-haiku-4-5-20251001,727,720,0.003462
2026-04-25T07:07:20.655385+00:00,Elevance Health,market_risk,claude-haiku-4-5-20251001,727,861,0.004026
2026-04-25T07:07:26.171410+00:00,Elevance Health,market_risk,claude-haiku-4-5-20251001,727,872,0.004070
2026-04-25T07:07:37.651246+00:00,EQT Corporation,market_risk,claude-haiku-4-5-20251001,3090,1420,0.008152
2026-04-25T07:07:49.556596+00:00,EQT Corporation,market_risk,claude-haiku-4-5-20251001,3050,1483,0.008372
2026-04-25T07:08:00.732868+00:00,EQT Corporation,market_risk,claude-haiku-4-5-20251001,2994,1398,0.007987
2026-04-25T07:08:08.685886+00:00,EQT Corporation,market_risk,claude-haiku-4-5-20251001,919,1112,0.005183
2026-04-25T07:08:17.463743+00:00,Intel,derivatives_note,claude-haiku-4-5-20251001,1779,724,0.004319
2026-04-25T07:08:19.642420+00:00,Intel,market_risk,claude-haiku-4-5-20251001,449,222,0.001247
2026-04-25T07:08:33.911880+00:00,Philip Morris International,derivatives_note,claude-haiku-4-5-20251001,3664,1266,0.007995
2026-04-25T07:08:36.334629+00:00,Philip Morris International,market_risk,claude-haiku-4-5-20251001,547,296,0.001622
2026-04-27T08:06:07.608141+00:00,Baker Hughes,bootstrap,claude-sonnet-4-20250514,2210,553,0.014925
2026-04-27T08:06:10.631741+00:00,Baker Hughes,financial_instruments,claude-haiku-4-5-20251001,1061,427,0.002557
2026-04-27T08:06:17.549588+00:00,Baker Hughes,market_risk,claude-haiku-4-5-20251001,1656,1225,0.006225
2026-04-27T08:06:32.634665+00:00,Charter Communications,bootstrap,claude-sonnet-4-20250514,376,334,0.006138
2026-04-27T08:06:36.882027+00:00,Charter Communications,market_risk,claude-haiku-4-5-20251001,714,771,0.003655
2026-04-27T08:07:01.122483+00:00,Dow Inc.,bootstrap,claude-sonnet-4-20250514,2970,563,0.017355
2026-04-27T08:07:07.224904+00:00,Dow Inc.,financial_instruments,claude-haiku-4-5-20251001,4991,560,0.006233
2026-04-27T08:07:14.921439+00:00,Dow Inc.,market_risk,claude-haiku-4-5-20251001,1550,1130,0.005760
2026-04-27T08:07:38.131457+00:00,Halliburton,bootstrap,claude-sonnet-4-20250514,871,410,0.008763
2026-04-27T08:07:42.299990+00:00,Halliburton,market_risk,claude-haiku-4-5-20251001,648,757,0.003546
2026-04-27T08:08:00.087171+00:00,J.B. Hunt,bootstrap,claude-sonnet-4-20250514,698,400,0.008094
2026-04-27T08:08:05.771796+00:00,J.B. Hunt,market_risk,claude-haiku-4-5-20251001,1067,1073,0.005146
2026-04-27T08:08:18.820843+00:00,Kinder Morgan,bootstrap,claude-sonnet-4-20250514,1993,513,0.013674
2026-04-27T08:08:30.134602+00:00,Kinder Morgan,market_risk,claude-haiku-4-5-20251001,2383,1712,0.008754
2026-04-27T08:08:41.655400+00:00,Las Vegas Sands,bootstrap,claude-sonnet-4-20250514,2043,440,0.012729
2026-04-27T08:08:48.219818+00:00,Las Vegas Sands,market_risk,claude-haiku-4-5-20251001,1078,1090,0.005222
2026-04-27T08:09:05.809425+00:00,Norfolk Southern,bootstrap,claude-sonnet-4-20250514,390,206,0.004260
2026-04-27T08:09:10.129549+00:00,Norfolk Southern,market_risk,claude-haiku-4-5-20251001,536,617,0.002897
2026-04-27T08:09:26.343016+00:00,Procter & Gamble,bootstrap,claude-sonnet-4-20250514,426,264,0.005238
2026-04-27T08:09:29.876651+00:00,Procter & Gamble,market_risk,claude-haiku-4-5-20251001,577,632,0.002990
2026-04-27T08:09:58.619094+00:00,Teledyne Technologies,bootstrap,claude-sonnet-4-20250514,1886,482,0.012888
2026-04-27T08:10:02.557894+00:00,Teledyne Technologies,market_risk,claude-haiku-4-5-20251001,672,780,0.003658
2026-04-28T08:07:11.590256+00:00,Baker Hughes,financial_instruments,claude-haiku-4-5-20251001,1178,592,0.003310
2026-04-28T08:07:17.214745+00:00,Baker Hughes,market_risk,claude-haiku-4-5-20251001,981,984,0.004721
2026-04-28T08:07:26.363573+00:00,Baker Hughes,financial_instruments,claude-haiku-4-5-20251001,1210,632,0.003496
2026-04-28T08:07:30.938227+00:00,Baker Hughes,market_risk,claude-haiku-4-5-20251001,779,891,0.004187
2026-04-28T08:07:35.212624+00:00,Baker Hughes,financial_instruments,claude-haiku-4-5-20251001,1212,559,0.003206
2026-04-28T08:07:40.603032+00:00,Baker Hughes,market_risk,claude-haiku-4-5-20251001,762,950,0.004410
2026-04-28T08:07:45.815660+00:00,Baker Hughes,market_risk,claude-haiku-4-5-20251001,724,919,0.004255
2026-04-28T08:07:50.770532+00:00,Baker Hughes,financial_instruments,claude-haiku-4-5-20251001,1185,630,0.003468
2026-04-28T08:07:56.003010+00:00,Baker Hughes,market_risk,claude-haiku-4-5-20251001,762,947,0.004398
2026-04-28T08:08:01.329997+00:00,Baker Hughes,market_risk,claude-haiku-4-5-20251001,724,942,0.004347
2026-04-28T08:08:07.751269+00:00,Charter Communications,market_risk,claude-haiku-4-5-20251001,754,757,0.003631
2026-04-28T08:08:12.575184+00:00,Charter Communications,market_risk,claude-haiku-4-5-20251001,739,709,0.003427
