ticker,cik,accession_number,period_end,form_type,defect_types,queued_at,source
MGM,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
MPWR,,0001628280-26-053275,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
MRNA,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
MSI,68505,0000068505-26-000021,2026-04-04,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
MTD,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
MU,,,2026-05-28,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
NCLH,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
NFLX,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
NI,,0001111711-26-000088,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
NRG,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
NSC,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
NXPI,,,2026-06-28,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
ODFL,,0000878927-26-000023,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
OMC,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
PCG,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
PHM,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
PM,,,2026-06-30,10-Q,reconciliation,2026-08-06T16:06:45+00:00,audit
PWR,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
RCL,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
REGN,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
ROK,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
ROL,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
ROP,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
SLB,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
SNA,,,2026-07-04,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
SO,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
STLD,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
STZ,,,2026-05-31,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
SW,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
T,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
TPL,,0001811074-26-000058,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
TYL,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
UNP,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
VLO,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
VLTO,1967680,0001967680-26-000024,2026-04-03,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
VMC,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
VRSK,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
VZ,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
WM,,,2026-06-30,10-Q,empty_row,2026-08-06T16:06:45+00:00,audit
XYL,,,2026-06-30,10-Q,implausible_swing,2026-08-06T16:06:45+00:00,audit
