ticker,cik,accession_number,period_end,form_type,status,sections_located,sections_total,fill_rate,attempts,last_error,updated_at
BLDR,1316835,0001193125-26-195140,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-11T22:22:38Z
BMY,14272,0000014272-25-000091,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BMY,14272,0000014272-25-000131,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BMY,14272,0000014272-25-000149,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BMY,14272,0000014272-26-000004,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BMY,14272,0000014272-26-000010,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-11T22:22:39Z
BR,1383312,0001628280-25-021409,2025-03-31,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-25-037656,2025-06-30,10-K,staged,2,3,0.59,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-25-048668,2025-09-30,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-26-004859,2025-12-31,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BR,1383312,0001628280-26-028675,2026-03-31,10-Q,staged,2,3,0.35,0,,2026-06-12T12:39:12Z
BSX,885725,0000885725-25-000026,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-25-000041,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-25-000050,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-26-000010,2025-12-31,10-K,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
BSX,885725,0000885725-26-000033,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:13Z
CAG,23217,0001558370-25-004399,2025-02-23,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAG,23217,0001558370-25-009180,2025-05-25,10-K,committed,2,3,0.42,0,,2026-06-12T12:39:14Z
CAG,23217,0001104659-25-095651,2025-08-24,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAG,23217,0001104659-25-123200,2025-11-23,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAG,23217,0001104659-26-038548,2026-02-22,10-Q,committed,3,3,1.00,0,,2026-06-12T12:39:14Z
CAH,721371,0000721371-25-000038,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-25-000079,2025-06-30,10-K,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-25-000130,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-26-000006,2025-12-31,10-Q,committed,2,3,0.15,0,,2026-06-12T18:24:11Z
CAH,721371,0000721371-26-000018,2026-03-31,10-Q,committed,2,3,0.15,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-25-000030,2025-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-25-000052,2025-06-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-25-000066,2025-09-30,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-26-000008,2025-12-31,10-K,committed,2,3,0.59,0,,2026-06-12T18:24:11Z
CARR,1783180,0001783180-26-000026,2026-03-31,10-Q,committed,3,3,1.00,0,,2026-06-12T18:24:11Z
