timestamp,ticker,cik,reason,severity,filing_date,form_type,config_path,status
2026-04-27T08:10:02Z,TDY,1094285,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 30 note headings found",warning,2026-03-29,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/tdy.yaml,open
2026-05-01T08:03:16Z,FTV,1659166,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,warning,2026-04-03,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ftv.yaml,open
2026-05-01T08:04:48Z,SWK,93556,No archetype keyword matches — defaulted; Sections found: market_risk; LLM identified 2 key fields,warning,2026-04-04,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/swk.yaml,open
2026-05-01T08:05:15Z,TXT,217346,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 25 note headings found",warning,2026-04-04,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/txt.yaml,open
2026-05-01T08:05:32Z,VLTO,1967680,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; LLM identified 6 key fields",warning,2026-04-03,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/vlto.yaml,open
2026-05-22T08:49:26Z,AOS,91142,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,error,2026-03-31,10-Q,,open
2026-05-22T08:49:56Z,ABT,1800,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 47 note headings found",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/abt.yaml,open
2026-05-22T08:50:37Z,AMD,2488,No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments; 6 note headings found,warning,2026-03-28,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/amd.yaml,open
2026-05-22T08:50:58Z,AES,874761,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 104 note headings found",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/aes.yaml,open
2026-05-22T08:51:40Z,APD,2969,No archetype keyword matches — defaulted; Sections found: market_risk; LLM identified 9 key fields,warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/apd.yaml,open
2026-05-22T08:52:03Z,ABNB,1559720,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 17 note headings found",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/abnb.yaml,open
2026-05-22T08:52:41Z,ALB,915913,No archetype keyword matches — defaulted; Sections found: market_risk; LLM identified 9 key fields,warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/alb.yaml,open
2026-05-22T08:53:50Z,LNT,352541,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; LLM identified 6 key fields",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/lnt.yaml,open
