ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
CCL,Carnival,815097,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ccl.yaml,2026-06-03T10:44:41Z,2026-02-28,,0,
CARR,Carrier Global,1783180,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/carr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CVNA,Carvana,1690820,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cvna.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CAT,Caterpillar Inc.,18230,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cat.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CDW,CDW Corporation,1402057,Information Technology,active,,/home/user/sec-derivatives-/profiles/cdw.yaml,2026-06-04T11:59:57Z,2026-03-31,,0,
COR,Cencora,1140859,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cor.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CNC,Centene Corporation,1071739,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cnc.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CNP,CenterPoint Energy,1130310,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cnp.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CF,CF Industries,1324404,Materials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cf.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CRL,Charles River Laboratories,1100682,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/crl.yaml,2026-06-03T10:44:41Z,2026-03-28,,0,
CHTR,Charter Communications,1091667,Communication Services,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/chtr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CVX,Chevron Corporation,93410,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/cvx.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
CMG,Chipotle Mexican Grill,1058090,Consumer Discretionary,active,,profiles/cmg.yaml,2026-06-04T11:59:57Z,2026-03-31,,0,
CHD,Church & Dwight,313927,Consumer Staples,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/chd.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
